Shalamar Town,31.5867,74.3461
Allama Iqbal Town,31.4738,74.2971
Data Ganj Bakhsh Town,31.5664,74.3204
Nishter Town,31.3391,74.3818
Allama Iqbal Town,31.5281,74.2699
Cantonment,31.4739,74.3478
Safdarabad,31.8304,73.6226
Faisal Abad City,31.402,73.0918
Gulberg Town,31.4989,74.3208
Muridkey,31.8752,74.379
Ferozwala,31.6279,74.2161
Faisal Abad City,31.416,73.1094
Samanabad Town,31.4854,74.3023
Nishter Town,31.4321,74.3118
Allama Iqbal Town,31.5331,74.2758
Muridkey,31.8225,74.2518
Ravi Town,31.5785,74.3147
Gulberg Town,31.5002,74.3288
Samanabad Town,31.5159,74.2996
Wahga Town,31.5627,74.5651
Sheikhupura,31.7057,74.0042
Gulberg Town,31.5171,74.351
Aziz Bhati Town,31.559,74.3793
Ferozwala,31.6239,74.2313
Shalamar Town,31.589,74.3459
Allama Iqbal Town,31.5202,74.2706
Ravi Town,31.5832,74.3258
Ferozwala,31.6485,74.2812
Allama Iqbal Town,31.5024,74.2666
Ravi Town,31.5769,74.3205
Gulberg Town,31.5571,74.3391
Wahga Town,31.5905,74.4361
Data Ganj Bakhsh Town,31.5647,74.3297
Nishter Town,31.4305,74.3053
POTOHAR,33.5303,73.0507
Cantonment,31.4523,74.3629
Gulberg Town,31.4955,74.3383
Samanabad Town,31.5232,74.2892
Faisal Abad City,31.4016,73.1338
Wahga Town,31.593,74.4166
Samanabad Town,31.5031,74.2775
Wahga Town,31.4727,74.6201
Samanabad Town,31.5289,74.2951
Ferozwala,31.644,74.2778
Sheikhupura,31.6022,73.6965
Sheikhupura,31.7097,73.9881
Sharaqpur,31.5158,74.1447
Wahga Town,31.5969,74.5013
Faisal Abad City,31.4287,73.0592
Gulberg Town,31.566,74.3576
RAWAL,33.6234,73.0661
Allama Iqbal Town,31.4412,74.2934
Aziz Bhati Town,31.5648,74.3823
Samanabad Town,31.5084,74.3166
Data Ganj Bakhsh Town,31.559,74.3157
Allama Iqbal Town,31.4737,74.2998
Shalamar Town,31.5933,74.3389
Nishter Town,31.4269,74.3869
Allama Iqbal Town,31.473,74.2952
Sharaqpur,31.4862,74.0136
Aziz Bhati Town,31.5543,74.3933
Shalamar Town,31.5834,74.3363
Aziz Bhati Town,31.5588,74.394
Wahga Town,31.5839,74.4973
Ravi Town,31.5821,74.3274
Data Ganj Bakhsh Town,31.5669,74.3264
Samanabad Town,31.5398,74.2928
Shalamar Town,31.5804,74.3346
Ferozwala,31.6718,74.2787
Ferozwala,31.6367,74.1776
Data Ganj Bakhsh Town,31.555,74.2941
Nishter Town,31.4205,74.3582
POTOHAR,33.5298,73.1327
Cantonment,31.5018,74.3705
Safdarabad,31.8329,73.628
Faisal Abad City,31.4037,73.0754
Sheikhupura,31.7007,74.0679
Muridkey,31.8551,74.2454
Faisal Abad City,31.3861,73.0918
RAWAL,33.6452,73.0781
Samanabad Town,31.5223,74.2966
Sheikhupura,31.8052,74.0197
Sheikhupura,31.7098,73.996
Faisal Abad City,31.4273,73.0832
Muridkey,31.8008,74.1722
Data Ganj Bakhsh Town,31.5683,74.2879
Ravi Town,31.5929,74.3176
Gulberg Town,31.4817,74.3108
Ferozwala,31.5687,74.1932
Data Ganj Bakhsh Town,31.5737,74.3176
Wahga Town,31.5858,74.4281
Gulberg Town,31.4593,74.3299
Aziz Bhati Town,31.5845,74.4
Data Ganj Bakhsh Town,31.5539,74.287
